"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.532747982914096","0.002377504877068754","0.3948280708329429","0.13588850174216027","43","5","false","145110","93.16666666666667","0","43","1","0.9988996784042253","false","0","145110","615292","0.043807730248408214"
"2.3801613668723305","0.012101210413791776","0.4201395812562313","0.10614692653673163","117","5","false","91206","68.45689655172414","0","117","1","0.9990092165349087","false","0","91206","2928274","0.025852291245681506"
"2.4916943521594686","0.0015758513861367038","0.4013333333333333","0.22435897435897437","45","5","false","35209","114.4","0","45","5","0.9989291497830873","false","0","35209","480058","0.05086743772241993"
"2.535832937826293","0.009734846815021314","0.3943477447127082","0.05616161616161616","108","5","false","319519","48.55","0","108","8","0.9988974637919409","false","0","319519","1820208","0.024129675810473816"
"3.535595633602278","0.0","0.28283777434727164","0.0","1","6","false","301193","100.0","0","1","0","0.9981797590569976","false","0","301193","0","0.0"
"2.6805885144755575","6.054086691201381E-5","0.3730524079320114","0.5818181818181818","11","5","false","39462","244.9090909090909","0","11","0","0.9987935473693642","false","0","39462","26832","0.13954933954933954"
"3.299952539155197","7.664655201547299E-6","0.30303466129728174","0.0","2","6","false","309589","144.5","0","2","0","0.9983489213645692","false","0","309589","2748","0.5218181818181818"
"2.7831039392501187","0.0018822104127180302","0.3593110504774898","0.05110336817653891","43","5","false","44525","42.857142857142854","0","43","1","0.998719954099605","false","0","44525","207424","0.029815979501514094"
"2.73421926910299","4.9404197986393864E-5","0.36573511543134873","0.6666666666666666","7","5","false","296955","311.2857142857143","0","7","0","0.9987550471865736","false","0","296955","13518","0.18911647283457733"
"2.7928334124347414","0.0","0.35805930835245137","1.0","3","5","false","148093","547.6666666666666","0","3","0","0.9987129695531697","false","0","148093","0","0.37666208161393855"
"2.8042240151874704","0.0","0.3566048912583566","1.0","2","5","false","24687","746.5","0","2","0","0.9987047925231964","false","0","24687","0","0.5271892655367232"
"3.535595633602278","0.0","0.28283777434727164","0.0","1","6","false","101018","100.0","0","1","0","0.9981797590569976","false","0","101018","0","0.0"
"3.535595633602278","0.0","0.28283777434727164","0.0","1","6","false","581583","100.0","0","1","0","0.9981797590569976","false","0","581583","0","0.0"
"2.802088277171334","0.0","0.35687669376693765","1.0","3","5","false","599155","511.6666666666667","0","3","0","0.9987063257163163","false","0","599155","0","0.35931647940074907"
"3.3901281442809683","6.869894641478535E-6","0.2949741005179896","0.16666666666666666","4","6","false","381756","73.75","0","4","0","0.9982841865439477","false","0","381756","2224","0.29776422764227645"
"2.7928334124347414","0.0","0.35805930835245137","1.0","3","5","false","588746","547.6666666666666","0","3","0","0.9987129695531697","false","0","588746","0","0.37666208161393855"
"2.7895111532985286","2.0745591410492875E-6","0.3584857507443641","0.7","5","5","false","84602","341.8","0","5","0","0.9987153545202452","false","0","84602","726","0.23362952836637046"
"2.780968201233982","4.961983079313889E-6","0.3595869954774298","0.6666666666666666","6","5","false","598747","313.5","0","6","0","0.9987214872927251","false","0","598747","2090","0.21054398925453324"
"2.770764119601329","4.2847429605187E-4","0.3609112709832134","0.32142857142857145","8","5","false","63818","242.625","0","8","0","0.9987288125487427","false","0","63818","55630","0.15987796833773088"
"2.795918367346939","1.7250201345474445E-7","0.3576642335766423","0.6666666666666666","3","5","false","151396","528.6666666666666","0","3","0","0.9987107549408851","false","0","151396","156","0.3717768401312705"
"2.7577123872804936","6.4333958778182544E-6","0.3626193959211772","0.6190476190476191","7","5","false","45723","293.0","0","7","0","0.9987381820622538","false","0","45723","2372","0.19200524246395806"
"3.535595633602278","0.0","0.28283777434727164","0.0","1","6","false","399216","100.0","0","1","0","0.9981797590569976","false","0","399216","0","0.0"
"3.535595633602278","0.0","0.28283777434727164","0.0","1","6","false","584183","100.0","0","1","0","0.9981797590569976","false","0","584183","0","0.0"
"2.788324632178453","1.2273591502020361E-6","0.3586382978723404","0.5","5","5","false","599250","355.6","0","5","0","0.9987162062942007","false","0","599250","830","0.24273037542662115"
"2.6535358329378265","4.193852962451885E-4","0.37685566088356287","0.23809523809523808","15","5","false","132659","181.4","0","15","0","0.9988129678155506","false","0","132659","121692","0.09930631617378605"
"2.7928334124347414","0.0","0.35805930835245137","1.0","3","5","false","245406","547.6666666666666","0","3","0","0.9987129695531697","false","0","245406","0","0.37666208161393855"
"2.626483151400095","0.003929429642963173","0.38073726057101553","0.05536723163841808","64","5","false","164703","52.416666666666664","0","64","4","0.9988323882617371","false","0","164703","554726","0.029248274575638875"
"3.522543901281443","9.712147201598145E-7","0.28388574508218806","0.0","2","6","false","78226","58.0","0","2","0","0.9981891285705086","false","0","78226","132","0.5229357798165137"
"2.7804935927859518","4.3199810925604814E-6","0.35964837415720746","0.6666666666666666","3","5","false","385293","538.6666666666666","0","3","0","0.9987218280023074","false","0","385293","1678","0.365693595836162"
"2.7411010915994303","3.1111400350207556E-5","0.3648168989697862","0.2545454545454545","11","5","false","40563","193.36363636363637","0","11","0","0.9987501068976314","false","0","40563","12542","0.12363403859567543"
"2.5557664926435693","0.0021318728694958086","0.39127205199628595","0.10206240084611316","69","5","false","70262","71.91935483870968","0","69","7","0.9988831539894877","false","0","70262","396872","0.035483870967741936"
"2.7650688182249645","9.979553758866079E-6","0.3616546515619636","0.5","9","5","false","74278","240.22222222222223","0","9","0","0.9987329010637294","false","0","74278","4232","0.15731645201193334"
