,id,user name,score
198,23190,Beta-TNT,66.8
199,440028,脱轨车间,66.66666666666667
200,395406,洪长清图图,66.4
201,330970,猫老夜~☆,66.0
202,104165,奇诡故事贩卖机,66.0
203,444111,游鲨游戏圈,66.0
204,445125,爱克斯博士,66.0
205,219735,小沢光子,66.0
206,176254,ayumu,66.0
207,13127,harmonytr...,65.5
208,62278,雪豆,65.33928571428571
209,146542,小林呱呱呱,65.33333333333333
210,60624,守密人,65.0
211,61547,龙草,65.0
212,164195,DICE亮君,65.0
213,66061,樱花家的阿柴,65.0
214,34444,有角幻也,64.83333333333333
215,320661,黑洞洞,64.66666666666667
216,209382,夏祭natsuko,64.0
217,440541,甜点猫头鹰,64.0
218,59134,沙狐,64.0
219,390028,megakusa,64.0
220,238451,三水共治,64.0
221,273934,Jodoboy,63.333333333333336
222,3466,鱼炒饭,63.0
223,264409,开开开开,62.375
224,401674,芒果冰OL,62.2
225,461521,大山猫,62.0
226,197079,锈色,62.0
227,325973,Lunamos,62.0
228,49001,Evangel,62.0
229,141408,typeomicr...,62.0
230,50663,-RANGER-,61.5
231,352872,Tiberius,61.375
232,67013,Kensnow,61.375
233,145168,时间的蘑菇,61.0
234,88711,Giovanni,61.0
235,45507,Pla153,61.0
236,270910,真庭正宗,61.0
237,372283,某悠,61.0
238,393517,南冥大鹏,61.0
239,15368,ARNwing,60.6
240,498199,jhl1000,60.0
241,34586,CrapTears,60.0
242,80169,无尽君,60.0
243,264422,独行之翼,60.0
244,307132,波鲁辣雷夫,60.0
245,282632,胖奇,60.0
246,67860,马涛,60.0
247,299759,Suens,60.0
248,294644,半藏在此喂橘子,60.0
249,193621,妄雀,59.5
250,34524,yn27,59.170731707317074
251,19396,巴甫洛夫的忌日,59.04347826086956
252,104912,Nyctophil...,59.0
253,194100,陆孤梵,59.0
254,375669,沙丘研究所,58.666666666666664
255,57139,徐棂,58.0
256,166201,林恩lieN,58.0
257,442583,木更,58.0
258,202197,传火老猎人,58.0
259,38708,大咳嗽,57.5
260,333977,YRDEN,57.0
261,150312,m?c?co?y?...,57.0
262,23219,路人甲乙，额......,57.0
263,401550,熊泽鹏,57.0
264,233065,说书人J,56.666666666666664
265,137021,Kin33,56.333333333333336
266,30572,这只沉默的小羊咩咩...,56.0
267,327089,弟求上头,56.0
268,409008,CLOUDDAUG,56.0
269,273310,游戏动力,55.857142857142854
270,51428,LeafL,55.75
271,13701,Nadya,55.733333333333334
272,218143,Timechase...,55.666666666666664
273,398624,狗老师Dogche...,55.5
274,98659,COE of wa...,55.0
275,287273,用户已注销,55.0
276,283851,终焉下的咏叹调,55.0
277,398622,新昼,54.75
278,142178,狗策划,54.666666666666664
279,22511,LinkAdrif...,54.5
280,35081,水珠在冷板凳上,54.0
281,357640,已沉东京湾,54.0
282,40579,巴洛克的猫,54.0
283,270571,科德瑞文之影,53.666666666666664
284,45077,chenzj,53.4
285,461051,Erron,53.0
286,44715,IMPACT_BL...,53.0
287,450091,heart_of_...,53.0
288,123698,MikeMerce...,53.0
289,245072,Fandlex,53.0
290,266962,王三白,53.0
291,297829,骈清丽泽cc,52.0
292,87365,HeartRoug...,52.0
293,181009,Atos,52.0
294,130092,真xithwod,52.0
295,121449,Jean-Char...,52.0
296,249398,东厂老沙雕,52.0
297,263192,二龙路Club,51.8
298,309184,v翼,51.57142857142857
299,32686,听故事的伊君,51.5
300,238149,Breakcrow,51.333333333333336
301,277673,葭尘,51.0
302,56653,哗哗哒哇,51.0
303,448069,xiezhengg...,51.0
304,157063,张B,51.0
305,438791,白水鸽鸽,51.0
306,71489,Ethan_Bla...,50.833333333333336
307,15784,小五_Klaus,50.21153846153846
308,388188,LaZyRui,50.0
309,185973,探王寻火,50.0
310,23895,Nate-Z,50.0
311,110072,火铭,50.0
312,127121,塔科达纳星球,50.0
313,427584,用户已注销,50.0
314,139018,鱼尾,50.0
315,386357,GeorgeLoc...,50.0
316,474735,《看电影》杂志,49.5
317,353508,蒸汽瓦特,49.333333333333336
318,318089,一只古零,49.0
319,83520,Fitch,49.0
320,88310,谢尔格拉,49.0
321,292587,阿波尼罗,48.666666666666664
322,126927,北冰洋橘子汽水丧狗...,48.07692307692308
323,374335,三星条纹臭鼬,48.0
324,359223,新星和石头,48.0
325,399747,PumpkinSi...,48.0
326,271658,Kicc,48.0
327,363028,PT195,48.0
328,56436,王写写,48.0
329,12865,NJBK,47.59375
330,366944,BambooGC,47.5
331,29691,msk福贵,47.5
332,3171,日天嗷,47.4
333,53306,Youand,47.166666666666664
334,440821,不二飞（VR世界观...,47.0
335,439957,BonesStud...,47.0
336,172500,萨满海豹MK2,46.38461538461539
337,365025,叔音OKATU,46.1
338,194136,梅红TX,46.0
339,142189,迷糊的德加血,46.0
340,236035,AIR夏秋,46.0
341,25223,YL,46.0
342,177501,阿瑟维尔斯利,46.0
343,264314,pc9527,46.0
344,418422,想吃东西的球球,46.0
345,415790,rapiz,46.0
346,176486,我的小游戏,46.0
347,144438,文西,46.0
348,32427,认真读书的大表哥,46.0
349,41595,洞爷湖z,45.0
350,445098,光川,45.0
351,44150,Noth,45.0
352,73180,精英十字军,45.0
353,387667,鱼头火箭番茄酱,45.0
354,207283,水绒草,45.0
355,375645,Abnormali...,45.0
356,436685,ME王,45.0
357,12924,门柱,45.0
358,80826,吉琶10696,45.0
359,138217,驴粒粒是菜鸡,45.0
360,244311,Clockwork...,45.0
361,284289,钟二狗,44.90909090909091
362,52575,Guqi,44.5
363,152670,imk,44.5
364,32308,Q_asim,44.5
365,30379,罗老谐,44.0
366,406529,名侦探老张,44.0
367,69825,VictorWJ,44.0
368,273325,愤怒的荷叶,44.0
369,235879,dbshch,44.0
370,91206,Dagou,43.642857142857146
371,156093,梦若愁,43.5
372,91628,天使与长剑,43.5
373,219377,疯狗的奇妙冒险,43.0
374,170322,石思,43.0
375,127200,真新镇小茂,43.0
376,400344,废话多但可能对,43.0
377,92228,艾丝蒂尔,43.0
378,89966,TUDOUGK,43.0
379,145957,渣教授,42.642857142857146
380,246551,NinthDepp,42.6
381,135036,酒后奇思,42.55555555555556
382,28766,JACKNIGHT,42.4
383,330729,鸩的注视,42.0
384,474844,刘逸凡,42.0
385,440959,Gnomeek,42.0
386,145816,charwang,42.0
387,446899,用户已注销,42.0
388,445760,喝茅台的老熊,42.0
389,13816,Vistaing,41.666666666666664
390,253953,冯阳昆,41.6
391,282535,出笼,41.5
392,416435,一个喵闲君,41.5
393,351763,FeeX,41.333333333333336
394,181737,mlwy,41.0
395,153035,⑨号球,41.0
396,20751,Fatty书生,41.0
397,396007,Wayfaring...,41.0
398,80250,短路天兵_生,40.77777777777778
399,421287,Esdec,40.75
400,385,Hardy,40.62
401,396589,夏川朝露,40.6
402,266700,高速移动的嘴唇,40.0
403,475817,51师,40.0
404,28717,周树精,40.0
405,359229,北方77,40.0
406,127220,5MOONS,40.0
407,202615,SE_01,40.0
408,241239,深山板蓝根,40.0
409,93131,歪鼻子七,39.333333333333336
410,330425,nerd_hnd,39.25
411,71208,布鲁斯天行者,39.166666666666664
412,119205,深空爱吃肉包儿,39.142857142857146
413,468676,哥就是猛哥,39.0
414,63090,杨半城,39.0
415,180710,w2112w,39.0
416,290282,瞬间艺术s,39.0
417,144895,mowolf,39.0
418,199508,奶油布利兹,39.0
419,236357,WZSPDW,39.0
420,317981,是汽水呀,39.0
421,208502,AnimeTama...,39.0
422,17647,大大泡泡糖不愉快,38.75
423,174952,Pray yan,38.666666666666664
424,182511,Nuluee,38.0
425,242753,S.S.S,38.0
426,122438,红烧小屁屁,38.0
427,412675,Subkonsci...,38.0
428,23659,robberjoh...,38.0
429,84684,SunsideBe...,38.0
430,111592,小兽同志,38.0
431,97606,大白羊,37.75
432,37146,范克里夫大尉,37.733333333333334
433,316769,RIverWayn...,37.61538461538461
434,406897,用户已注销,37.285714285714285
435,339049,腾讯游戏学堂,37.25
436,343520,元音,37.0
437,248474,山鲁佐德先生,37.0
438,379700,浩海,37.0
439,121164,温泉堡,37.0
440,458444,DREAMFAIR...,37.0
441,16110,相信过程,37.0
442,69524,Dr.Shan,37.0
443,243236,水上观测姬,37.0
444,255979,碳烤洋排,37.0
445,401330,薪房烧之MKII,37.0
446,199401,路人甲的悲鸣,36.833333333333336
447,354431,贰柒,36.5
448,21246,阿灵D,36.0
449,145131,siwondark,36.0
450,223924,修道士冬寂,36.0
451,227572,skian,36.0
452,143453,DarkDiabl...,36.0
453,428160,PADI中国,36.0
454,194679,马铃薯避难所,35.5
455,387502,红磡老板娘,35.5
456,20740,Typori,35.2
457,280418,terryang2...,35.18181818181818
458,48877,幻蓝,35.125
459,132166,再生妖精,35.0
460,18710,地球防卫大佐,35.0
461,172572,ss2302,35.0
462,478322,DreamNRJ,35.0
463,444685,F24通讯员,35.0
464,226451,Dr.Knox,35.0
465,329561,追梦人的影视杂谈,34.875
466,354805,白鬼业行,34.8
467,1724,mrainboww...,34.5
468,447908,寒生w,34.5
469,99590,不朽德米特里斯基,34.5
470,351874,JackieMis...,34.25
471,126008,Huiyao117,34.2
472,94873,ChristheC...,34.035714285714285
473,286030,ghosty_小白,34.0
474,38249,晨风零雨,34.0
475,140438,思考者,34.0
476,13515,louiky穆飞,34.0
477,104515,西伯利亚之森,34.0
478,59132,搓男太郎,33.8
479,258670,巧克力与坚果,33.15384615384615
480,299446,篝火营地,33.111111111111114
481,143951,GTL,33.0
482,445137,校长海德里希,33.0
483,476074,不紫道,33.0
484,223671,wenseer,33.0
485,310441,影子13号,33.0
486,169823,柯泽林雾,33.0
487,156732,CyberGobl...,33.0
488,12151,花青虎,33.0
489,232392,肖尔AKA大鱼际,32.666666666666664
490,184587,一只硬核少年,32.666666666666664
491,416287,默颜,32.4
492,36336,超逗比级阿斯特纳冈,32.333333333333336
493,272058,打鐵兄弟蒼穹君,32.25
494,363525,Arthasw,32.25
495,353840,白天8026,32.0
496,50908,幻来幻去,32.0
497,442979,Sephy0826,32.0
498,443189,sanxs,32.0
499,53603,卢克英雄,32.0
500,218645,有人叫白添,32.0
501,6874,boshiid,31.666666666666668
502,135551,阿兰的追随者,31.61111111111111
503,166712,轮回Sunday,31.6
504,110259,洋葱酱骑士_Yzc,31.5
505,113876,XavierX,31.5
506,117962,服务器播种者,31.25
507,245263,Foxtail07...,31.0
508,130456,Red Lemon...,31.0
509,329850,正艺青年,31.0
510,290741,荔枝fm搜游生谈,31.0
511,78388,velvetpaw,31.0
512,358633,hector-59...,31.0
513,427685,无色无味天运子,31.0
514,384518,孙衍,31.0
515,167641,月之莹莹,31.0
516,13473,北风水君,31.0
517,256088,道无终始,31.0
518,400668,码字的刺猬,31.0
519,123878,薛伯陵,30.875
520,258191,Hyperspac...,30.8
521,169974,艾洋,30.666666666666668
522,68412,MRX愷,30.333333333333332
523,112534,呵呵帝HED,30.166666666666668
524,29535,叉烧SAMA,30.0
525,26845,YDDADGIB,30.0
526,270479,blurryroa...,30.0
527,415926,幻想口袋Pocke...,30.0
528,153720,FrankySte...,29.75
529,159777,8号复制人,29.666666666666668
530,314970,少数派sspai,29.5
531,417975,张图图,29.4
532,299088,请叫我Z,29.333333333333332
533,277201,knee684,29.25
534,70236,隐仆,29.0
535,46224,伦伦伦伦子,29.0
536,54071,碳酸灰熊,29.0
537,381161,一条鹿,29.0
538,293483,MiKasoTem...,29.0
539,286178,濡乌也非纯黑,29.0
540,215649,栗子頭,28.818181818181817
541,252542,ALExZHAN1...,28.3
542,269140,李显尘,28.2
543,29686,lesliehac...,28.0
544,449641,碧蓝航线研发组,28.0
545,29142,基西,28.0
546,83559,BottleFis...,28.0
547,88352,故里_GL,28.0
548,236395,shadowdao,28.0
549,14440,KApostate,28.0
550,422704,蛋奶星星,28.0
551,238879,solarku,28.0
552,18938,秋水锦瑟,28.0
553,76433,bazingga二...,27.785714285714285
554,372906,我还想玩,27.5
555,56081,TimeSwap,27.333333333333332
556,458629,RFON,27.25
557,39159,V_iNFLUEN...,27.0
558,312548,Foey,27.0
559,218896,XYGO,27.0
560,222026,高熵碳基,27.0
561,203904,Tanihara,27.0
562,40931,Luinrandr...,27.0
563,314632,漫庚,27.0
564,31624,Coffendo,27.0
565,311272,调调。,27.0
566,112775,cvr,27.0
567,425418,路易·王,27.0
568,20422,kshift,27.0
569,279620,COlogik,27.0
570,326010,熊吉吉,26.8
571,432153,人则水州,26.666666666666668
572,133165,葉舞靈,26.5
573,181285,用户已注销,26.5
574,461718,WhamToys玩...,26.4
575,417203,【Колыбель...,26.2
576,294370,SSADY,26.2
577,257378,大荔枝啊,26.0
578,48265,冰落,26.0
579,44525,中二混沌貴公子,26.0
580,31422,长昵称用来卖萌,26.0
581,217180,Molotok,26.0
582,449848,黑方BlackCu...,26.0
583,25971,EDAuditor...,26.0
584,77661,蓝湿父,26.0
585,315181,橙子fr,26.0
586,35258,rpgincomi...,26.0
587,439872,阿闫,26.0
588,16678,parker_pa...,26.0
589,42714,不吃芹菜,26.0
590,231718,粗毛羊,26.0
591,399865,百乐游戏说,26.0
592,183980,路德维希胖胖,26.0
593,111451,懒小丁,25.333333333333332
594,476531,doodlez,25.0
595,481904,Pokins,25.0
596,67478,utsuho072...,25.0
597,56200,TRIAL,25.0
598,71794,子旋,25.0
599,66229,旺仔牛魔王,25.0
600,238967,多米domi,25.0
601,90515,吐槽星人,25.0
602,476669,三月琉璃夜,24.833333333333332
603,450571,AMXELC,24.75
604,184667,Mok,24.5
605,269814,天气-预报,24.5
606,48243,亚瑟,24.333333333333332
607,298865,十文字klt,24.333333333333332
608,106897,白熊王子,24.0
609,466625,砂糖豆腐,24.0
610,219222,alphayoun...,24.0
611,365862,Botanica,24.0
612,328731,怀利Sama,24.0
613,231710,阿囧同学,24.0
614,406434,深鸭社DeepDu...,24.0
615,421566,酥皮-,24.0
616,184472,[CHN]Ryan,24.0
617,397160,maiev4,24.0
618,194732,orange5,24.0
619,437892,有方,23.666666666666668
620,126391,eaglet123,23.5
621,17350,Spark-War...,23.333333333333332
622,27530,猫毛卯茂,23.333333333333332
623,29260,真实之澈,23.333333333333332
624,265382,次元书馆,23.0
625,164703,DRING,23.0
626,197819,阳光下的猥笑,23.0
627,37381,完颜紫瑞,23.0
628,21879,罗伊SD,23.0
629,319946,Cloud Yun,23.0
630,443848,渔夫Yf,23.0
631,48733,以西结之轮,23.0
632,446145,活蹦乱跳的鲤鱼王,23.0
633,390073,骑士优格,23.0
634,319467,米勒与麋鹿,23.0
635,400574,The Ordin...,23.0
636,94024,真の阿5,23.0
637,201995,Mozartmil...,23.0
638,293398,地图,23.0
639,77222,席路德,22.833333333333332
640,435629,穿墙猫,22.75
641,149461,whatever1,22.333333333333332
642,386434,鲤鱼_Lydia,22.333333333333332
643,48925,OwenNiu,22.272727272727273
644,319519,Mr_Tra,22.0
645,30896,百步穿杨-疾风奈奈,22.0
646,223877,阿列克谢,22.0
647,331623,Myasuka,22.0
648,469537,maximeGu,22.0
649,379028,SweeneyH,22.0
650,289463,没有脖子的平远,22.0
651,284165,Lethanl,22.0
652,38513,李映道,22.0
653,290589,Kazuya,21.9
654,227976,Ethan_Bla...,21.857142857142858
655,35209,蓟犁的疯狗,21.555555555555557
656,254154,解放全人类的林登猫,21.5
657,223458,野兽先辈v君,21.5
658,41875,森友Gpainte...,21.5
659,457252,店长长长长,21.5
660,123170,哈姆,21.5
661,16061,黑狗布雷特,21.333333333333332
662,33970,Ouredfine...,21.2
663,201483,终焉Innhear...,21.0
664,506228,角鼠的信徒,21.0
665,165404,鸡良鸡影,21.0
666,412228,A傻圆儿,21.0
667,258792,核能大狗,21.0
668,37991,冰河洗剑,21.0
669,43000,andd,21.0
670,230237,异次元的G,21.0
671,443078,冰戈,21.0
672,107661,envyy,21.0
673,319547,GRENICO,21.0
674,425694,格物匠客,21.0
675,321362,knake,21.0
676,403161,八又二分之一站台,21.0
677,101171,未来事务管理局,20.986666666666668
678,16551,真·诘sin,20.857142857142858
679,462527,游信,20.82758620689655
680,363671,theArchit...,20.75
681,297894,Ryin_Silv...,20.666666666666668
682,289370,船长和阿悠,20.666666666666668
683,463158,金属光泽游戏评测,20.571428571428573
684,33148,ljg77077,20.5
685,386119,黑胶盒子,20.5
686,388575,王禹效,20.5
687,456806,blesslop,20.333333333333332
